line,start,end,money saved,best_path
90,AEROPUERTO DE GRAN CANARIA ,TAURO,0.05,AEROPUERTO DE GRAN CANARIA  -> MORRO BESUDO -> TAURO
90,BAHÍA  FELÍZ,PLAYA DEL CURA,0.05,BAHÍA  FELÍZ -> ARGUINEGUÍN -> PLAYA DEL CURA
90,C.C. ATLÁNTICO (VECINDARIO),PLAYA DEL CURA,0.05,C.C. ATLÁNTICO (VECINDARIO) -> ARGUINEGUÍN -> PLAYA DEL CURA
90,CRUCE DE MELENARA,ARGUINEGUÍN,0.05,CRUCE DE MELENARA -> BAHÍA  FELÍZ -> ARGUINEGUÍN
90,PATALAVACA,AEROPUERTO DE GRAN CANARIA ,0.1,PATALAVACA -> MORRO BESUDO -> AEROPUERTO DE GRAN CANARIA 
90,PLAYA DEL CURA,BAHÍA  FELÍZ,0.05,PLAYA DEL CURA -> ARGUINEGUÍN -> BAHÍA  FELÍZ
90,PLAYA DEL CURA,C.C. ATLÁNTICO (VECINDARIO),0.05,PLAYA DEL CURA -> ARGUINEGUÍN -> C.C. ATLÁNTICO (VECINDARIO)
90,TAURO,AEROPUERTO DE GRAN CANARIA ,0.05,TAURO -> MORRO BESUDO -> AEROPUERTO DE GRAN CANARIA 
90,TELDE - FRANCHY ROCA,ARGUINEGUÍN,0.05,TELDE - FRANCHY ROCA -> BAHÍA  FELÍZ -> ARGUINEGUÍN
91,PUERTO MOGÁN - ESTACIÓN MOGÁN,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),0.2,PUERTO MOGÁN - ESTACIÓN MOGÁN -> PATALAVACA -> SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA)
91,PUERTO MOGÁN - ESTACIÓN MOGÁN,SANTA CATALINA - ESTACIÓN LAS PALMAS DE GRAN CANARIA (PUERTO),0.2,PUERTO MOGÁN - ESTACIÓN MOGÁN -> PATALAVACA -> SANTA CATALINA - ESTACIÓN LAS PALMAS DE GRAN CANARIA (PUERTO)
91,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),PUERTO MOGÁN - ESTACIÓN MOGÁN,0.2,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA) -> PATALAVACA -> PUERTO MOGÁN - ESTACIÓN MOGÁN
91,SANTA CATALINA - ESTACIÓN LAS PALMAS DE GRAN CANARIA (PUERTO),PUERTO MOGÁN - ESTACIÓN MOGÁN,0.2,SANTA CATALINA - ESTACIÓN LAS PALMAS DE GRAN CANARIA (PUERTO) -> PATALAVACA -> PUERTO MOGÁN - ESTACIÓN MOGÁN
101,SAN ISIDRO - GÁLDAR,ALDEA SAN NICOLÁS ,0.35,SAN ISIDRO - GÁLDAR -> EL RISCO -> ALDEA SAN NICOLÁS 
220,ARTENARA,C.C. LOS ALISIOS - TAMARACEITE,0.1,ARTENARA -> VALLESECO -> C.C. LOS ALISIOS - TAMARACEITE
220,JUNCALILLO,C.C. LOS ALISIOS - TAMARACEITE,0.1,JUNCALILLO -> VALLESECO -> C.C. LOS ALISIOS - TAMARACEITE
220,LAS ARBEJAS,C.C. LOS ALISIOS - TAMARACEITE,0.1,LAS ARBEJAS -> VALLESECO -> C.C. LOS ALISIOS - TAMARACEITE
220,LOS GARAJES,C.C. LOS ALISIOS - TAMARACEITE,0.1,LOS GARAJES -> VALLESECO -> C.C. LOS ALISIOS - TAMARACEITE
220,TAMARACEITE,ARTENARA,0.1,TAMARACEITE -> VALLESECO -> ARTENARA
220,TAMARACEITE,JUNCALILLO,0.1,TAMARACEITE -> VALLESECO -> JUNCALILLO
